"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.37397415703723,1.87145409363002,0.734174651525735,0.463649712345904
"Age",-0.00622005589862845,0.0093360153661689,-0.666243108507318,0.505976669360503
"WAR",-0.0240246514814296,0.0331081411719784,-0.725641809868905,0.468854903876005
"G",0.00313994254283168,0.00328737007428819,0.955153351121128,0.340582911939227
"PA",-0.00166797857065564,0.00254979673653917,-0.654161387358109,0.513713500985778
"R",0.205543608049469,0.00472153121878747,43.5332519314051,5.4599796067687e-108
"H",-0.0563707317281582,0.00946635308140963,-5.9548520156998,1.06211348258523e-08
"X2B",-0.0376539967078951,0.00874548415833591,-4.30553598018979,2.54108580457707e-05
"X3B",-0.142595557166031,0.0198292871371155,-7.1911590255369,1.07342765049177e-11
"HR",-0.142457611366851,0.0192915263748765,-7.38446552121319,3.40600169611588e-12
"RBI",0.0047974033463322,0.00437330270666511,1.09697491075126,0.273890982133352
"SB",-0.0303233648804136,0.00935435320881513,-3.24163137776732,0.00137932403354217
"CS",0.0262596592542032,0.0248469327198157,1.0568571803336,0.291773946347448
"BB",-0.0550592591347856,0.00824781648271648,-6.67561641922608,2.09991670106339e-10
"SO",0.00232907947516803,0.00146793271906147,1.58663911834947,0.114077797317603
"BA",-14.0879433674214,5.62776639665798,-2.50329213660812,0.0130551969997131
"OBP",28.3256287207943,60.6101688887265,0.467341194392594,0.640733529388768
"SLG",37.2236779410289,60.7900001631944,0.612332255981242,0.540971085819876
"OPS",-38.8183894493479,61.0275850690951,-0.636079395987862,0.525407553736083
"OPS.",0.0385619514312241,0.0274725025012728,1.40365630795511,0.16187744956718
"rOBA",56.9182514789149,16.7948188328027,3.38903634778991,0.000835579963043004
"Rbat.",-0.0278723778253717,0.0233613899012205,-1.19309587071767,0.234159105095035
"HBP",-0.0468372268686325,0.0117537095291964,-3.98488891973109,9.27122706778254e-05
"SH",0.039613542618105,0.0211679010659591,1.87139681419851,0.0626610474991672
"SF",-0.0221758128607394,0.0161349857380315,-1.37439308721973,0.170764002606099
"IBB",0.0465293039835286,0.0178529613366909,2.60625131629579,0.00980023499822177
"Weight",-0.00250041727286585,0.00204945991799576,-1.22003716730947,0.223799869859544
"Height",-0.0044288988039775,0.0169631649672356,-0.261089178377498,0.794276001509624
"LgF",0.0546305719432216,0.0710934418968411,0.768433353142365,0.443080905629748
"BatsRight",-0.170613053413744,0.0819609047024554,-2.08163946009533,0.0385703013376501
"ThrowsRight",0.0358326571441046,0.0806246099604312,0.44443820766005,0.657177029502429
"HasAward",0.0205281703807806,0.0919684832538086,0.223208752112703,0.823586956362222
"BirthplaceFARUBA",0.0675685461225968,0.555538499082714,0.121627117173992,0.903309003165772
"BirthplaceFAZ",-0.362741889254004,0.377722961142759,-0.960338466469099,0.337973762051121
"BirthplaceFBahamas ",0.202727299049314,0.583016796226892,0.347721198362215,0.728392947179807
"BirthplaceFCA",-0.398492583145503,0.351188292245791,-1.13469780156169,0.257777279420813
"BirthplaceFCA ",-0.314235167078046,0.393237865429444,-0.799096919964406,0.425124381430669
"BirthplaceFCAN",-0.494410435816437,0.382797578619571,-1.29157148171981,0.197905353196252
"BirthplaceFCT ",-0.379904651442036,0.578166898932659,-0.657084748613886,0.511835784181171
"BirthplaceFCUBA",-0.1187983508879,0.393101637679269,-0.302207723145705,0.762788603724533
"BirthplaceFCUBA ",0.0721895434582537,0.432865066345149,0.166771470074447,0.867708078355016
"BirthplaceFCURACAO",-0.829135068826938,0.435014591762714,-1.90599369429705,0.057997363332785
"BirthplaceFDE",-0.384256460014962,0.486306079276099,-0.790153519336947,0.430316916438858
"BirthplaceFDR",-0.512269394832405,0.359747343870406,-1.42396991544417,0.155918468477202
"BirthplaceFDR ",-0.364346591590565,0.366283577056836,-0.994711787293782,0.321005126825924
"BirthplaceFFL",-0.519646146231822,0.354875250333948,-1.46430652952783,0.144584538844121
"BirthplaceFGA",-0.149097550567036,0.360586165417524,-0.41348660837943,0.679666126194582
"BirthplaceFGER",-0.855329229741327,0.580440531609557,-1.47358632480317,0.1420693062023
"BirthplaceFHI",-0.35357114270603,0.564970890949973,-0.625821875727998,0.532101785568672
"BirthplaceFHONDURAS",-0.440805925698192,0.582426756091951,-0.756843536268789,0.449979955297392
"BirthplaceFIL",-0.167755957139648,0.391330362623448,-0.428681168552896,0.668588476807547
"BirthplaceFIN",-0.380862562265422,0.481514039415435,-0.790968759141052,0.42984205816343
"BirthplaceFJAPAN",0.336984320664335,0.566508195077392,0.594844564637408,0.552578752515549
"BirthplaceFJPN",-0.690142578379226,0.478461140553482,-1.4424213794685,0.150652365667074
"BirthplaceFKOR",-0.774502501704871,0.478391119484847,-1.61897340932852,0.106932693456775
"BirthplaceFKS",-0.730322942402039,0.485678490636976,-1.50371687542557,0.134135538330735
"BirthplaceFKY",-0.78917580266611,0.477511743347422,-1.65268354896129,0.0998685096906403
"BirthplaceFLA",-0.687647121786694,0.571947479445553,-1.20229067615317,0.230585807162553
"BirthplaceFMA",-0.123775447786717,0.434502665103045,-0.284866947265703,0.7760228591998
"BirthplaceFMD",-0.175440021400338,0.39515715442526,-0.443975313202942,0.6575111350251
"BirthplaceFMEX",-0.632351744386558,0.41617068061433,-1.51945289238808,0.130131493602699
"BirthplaceFMI",0.0558337082914771,0.45879080841208,0.121697530263789,0.903253303242186
"BirthplaceFMN ",-0.459482024062372,0.561502598611748,-0.818307920922164,0.414095900159224
"BirthplaceFMO",-0.201659593332878,0.473996217561099,-0.425445575010066,0.670941418863473
"BirthplaceFMO ",-0.514910158437657,0.55884512538821,-0.921382571029795,0.35789313185175
"BirthplaceFMS",-0.395055771509405,0.466543044509931,-0.846772395726918,0.398072369322656
"BirthplaceFNC",-0.257692596723958,0.380421739581982,-0.677386620983116,0.498895759533384
"BirthplaceFNE",-0.164134897986685,0.474806615057066,-0.345687892252634,0.729918460148941
"BirthplaceFNJ",-0.196167843553515,0.437879374217253,-0.447995167400114,0.654612011861127
"BirthplaceFNM",-0.428720914090833,0.468881567629881,-0.914347979721076,0.361567910958729
"BirthplaceFNV",-0.17856566707188,0.441079349084984,-0.404837967232683,0.686002886940958
"BirthplaceFNY",-0.370650328458998,0.37231033292938,-0.99554134193021,0.320602659582352
"BirthplaceFOH",-0.3850823546476,0.377167844983478,-1.02098405197948,0.308420208065583
"BirthplaceFOK",-0.278711094905801,0.562890889179233,-0.495142309572992,0.621010063618921
"BirthplaceFOR",-0.406918601317099,0.411552524841406,-0.988740383682271,0.3239120205699
"BirthplaceFPA",-0.422508549750507,0.381850339123071,-1.10647682209949,0.269768273828962
"BirthplaceFPAN",-0.733980604463603,0.481587223194971,-1.5240865394937,0.12897043607062
"BirthplaceFPR",-0.661592625512421,0.377141054905179,-1.75423125355249,0.0808289615696784
"BirthplaceFTN ",-0.100336201327595,0.430164788176417,-0.233250614846805,0.815790805721579
"BirthplaceFTX",-0.181982671151395,0.36548789866163,-0.497917090600788,0.619056161324745
"BirthplaceFVA",-0.405406498439907,0.467741947408062,-0.866731112500003,0.387064662111867
"BirthplaceFVA ",-0.213204563181293,0.558454846852408,-0.381775830907311,0.703008241304655
"BirthplaceFVE",-0.426998631831958,0.62882928742499,-0.679037443660562,0.49785130763836
"BirthplaceFVENZ",-0.467712846556501,0.354058420293587,-1.32100472619369,0.18791718722124
"BirthplaceFWA",-0.953471645091382,0.468463502957445,-2.03531681565809,0.0430575156679336
