Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,Weight,Height,Bats,Throws,Birthplace,R/PA
Eugenio Suárez,32,ARI,NL,3.1,158,640,571,90,146,28,2,30,101,2,1,49,176,0.256,0.319,0.469,0.788,116,0.34,115,268,10,9,0,11,0,*5/D,,,213,71,Right ,Right ,VENZ,14.0625
Freddie Freeman*,34,LAD,NL,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,0.282,0.378,0.476,0.854,143,0.37,142,258,13,10,0,8,9,*3,"AS,MVP-17",,220,76,Left ,Right ,CA,12.69592476
Adley Rutschman#,26,BAL,AL,3.4,148,638,571,68,143,21,1,19,79,1,0,58,103,0.25,0.318,0.391,0.709,106,0.313,107,223,9,2,0,7,3,2D/H,AS,,230,74,Both ,Right,OR,10.65830721
Adolis García,31,TEX,AL,0.3,154,637,580,68,130,27,0,25,85,11,5,45,177,0.224,0.284,0.4,0.684,95,0.302,94,232,12,6,0,6,2,*9D/H,,,205,72,Right,Right,CUBA,10.67503925
Jonathan India,27,CIN,NL,1.7,151,637,533,84,132,28,2,15,58,13,2,80,125,0.248,0.357,0.392,0.75,106,0.34,108,209,16,15,2,7,0,*4D/H,,,200,71,Right,Right,FL,13.18681319
Masyn Winn,22,STL,NL,4.9,150,637,587,85,157,32,5,15,57,11,5,41,109,0.267,0.314,0.416,0.73,103,0.317,100,244,1,1,3,5,1,*6/HD,,,185,69,Right,Right,TX,13.34379906
Yordan Alvarez*,27,HOU,AL,5.4,147,635,552,88,170,34,2,35,86,6,0,69,95,0.308,0.392,0.567,0.959,171,0.406,169,313,14,10,0,4,16,D7,"AS,MVP-9",,237,74,Left ,Right,CUBA,13.85826772
Nolan Arenado,33,STL,NL,2.5,152,635,578,70,157,23,0,16,71,2,2,44,92,0.272,0.325,0.394,0.719,102,0.315,99,228,15,5,0,7,2,*5/DH,,,215,74,Right,Right,CA ,11.02362205
Willi Castro#,27,MIN,AL,1.6,158,635,558,89,138,31,5,12,60,14,9,51,150,0.247,0.331,0.385,0.717,101,0.326,108,215,8,21,1,4,0,64785/H1,AS,,206,72,Both ,Right ,PR,14.01574803
Alex Bregman,30,HOU,AL,4.1,145,634,581,79,151,30,2,26,75,3,1,44,86,0.26,0.315,0.453,0.768,117,0.334,117,263,13,5,0,4,1,*5/D,GG,,190,71,Right ,Right ,NM,12.46056782
Andrés Giménez*,25,CLE,AL,4,152,633,583,64,147,22,1,9,63,30,5,26,97,0.252,0.298,0.34,0.638,83,0.294,81,198,11,15,3,6,1,*4,GG,,161,71,Left ,Right ,VENZ,10.11058452
Josh Naylor*,27,CLE,AL,1.5,152,633,563,84,137,27,0,31,108,6,2,58,105,0.243,0.32,0.456,0.776,119,0.336,117,257,17,7,0,4,7,*3D/H,AS,,235,70,Left ,Left ,CAN,13.27014218
Bryce Harper*,31,PHI,NL,4.8,145,631,550,85,157,42,0,30,87,7,4,76,138,0.285,0.373,0.525,0.898,148,0.381,148,289,18,2,1,2,11,*3/D,"AS,MVP-6,SS",,210,74,Left ,Right ,NV,13.47068146
Cal Raleigh#,27,SEA,AL,4.7,153,628,546,73,120,16,0,34,100,6,1,70,176,0.22,0.312,0.436,0.748,119,0.324,117,238,7,6,0,6,4,*2D/H,"MVP-12,GG",,235,74,Both ,Right ,NC,11.62420382
Maikel Garcia,24,KCR,AL,1.2,157,626,575,84,133,27,5,7,58,37,2,42,103,0.231,0.281,0.332,0.614,72,0.287,69,191,7,0,4,5,0,*54H/69,,,180,73,Right ,Right ,VENZ,13.41853035
Bryan De La Cruz,27,2TM,NL,-1.4,149,622,584,61,136,25,0,21,68,5,2,29,170,0.233,0.271,0.384,0.654,77,0.29,75,224,10,3,0,5,1,7D9/H,,,175,73,Right ,Right ,DR,9.807073955
Yandy Díaz,32,TBR,AL,1.6,145,621,563,55,158,31,1,14,65,0,0,50,95,0.281,0.341,0.414,0.755,116,0.336,119,233,12,4,0,4,0,*3D/H,,,235,73,Right ,Right ,CUBA ,8.85668277
Alex Verdugo*,28,NYY,AL,0.8,149,621,559,74,130,28,1,13,61,2,1,49,93,0.233,0.291,0.356,0.647,83,0.288,81,199,14,1,2,10,0,*79/8,,,209,72,Left ,Left ,AZ,11.91626409
Jazz Chisholm Jr.*,26,2TM,2LG,2.7,147,621,562,74,144,21,4,24,73,40,10,53,152,0.256,0.324,0.436,0.76,107,0.339,106,245,6,4,0,2,5,85/D4H,,,184,71,Left ,Right ,Bahamas ,11.91626409
Yainer Diaz,25,HOU,AL,3.3,148,619,585,70,175,29,3,16,84,2,0,24,107,0.299,0.325,0.441,0.766,117,0.339,120,258,22,2,0,8,1,2D3/H,,,195,71,Right ,Right ,DR ,11.3085622
Brice Turang*,24,MIL,NL,4.7,155,619,559,72,142,24,4,7,57,50,6,50,105,0.254,0.316,0.349,0.665,86,0.313,85,195,8,2,5,3,1,*4H/D,GG,,190,71,Left ,Right ,CA ,11.63166397
Andrew Vaughn,26,CHW,AL,0.2,149,619,570,55,140,30,1,19,70,2,0,38,132,0.246,0.297,0.402,0.699,99,0.305,96,229,13,6,0,5,0,*3D/H,,,215,71,Right ,Right ,CA ,8.885298869
Brent Rooker,29,OAK,AL,5.6,145,614,546,82,160,26,2,39,112,11,3,59,177,0.293,0.365,0.562,0.927,165,0.399,166,307,5,5,0,4,4,*D/79H,"MVP-10,SS",,225,76,Right ,Right ,TN ,13.35504886
George Springer,34,TOR,AL,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,0.22,0.303,0.371,0.674,91,0.312,97,202,16,6,0,2,0,*9D/H8,,,220,73,Right ,Right ,CT ,12.05211726
Julio Rodríguez,23,SEA,AL,4.3,143,613,567,76,155,17,0,20,68,24,5,38,156,0.273,0.325,0.409,0.734,116,0.334,121,232,10,6,0,2,1,*8D/H,,,228,75,Right ,Right ,DR,12.39804241
Christopher Morel,25,2TM,2LG,-0.6,152,611,535,56,105,11,3,21,60,8,7,61,159,0.196,0.288,0.346,0.634,79,0.282,80,185,15,10,0,5,3,5D47/H,,,200,72,Right ,Right ,DR ,9.165302782
Nolan Schanuel*,22,LAA,AL,1.3,147,607,519,62,130,19,0,13,54,10,1,68,103,0.25,0.343,0.362,0.706,100,0.321,103,188,14,9,3,7,0,*3/HD,,,220,74,Left ,Right ,FL,10.21416804
Alec Bohm,27,PHI,NL,3,143,606,554,62,155,44,2,15,97,5,2,40,86,0.28,0.332,0.448,0.779,116,0.34,117,248,18,6,0,6,2,*53/DH,AS,,218,77,Right ,Right ,NE,10.2310231
Brenton Doyle,26,COL,NL,4,149,603,542,82,141,24,4,23,72,30,5,46,153,0.26,0.317,0.446,0.764,104,0.338,102,242,13,3,4,8,1,*8/DH,GG,,220,75,Right ,Right ,VA,13.5986733
Josh Bell#,31,ARI,NL,0.3,41,162,140,24,39,5,1,5,22,0,1,17,32,0.279,0.361,0.436,0.796,121,0.349,125,61,9,1,0,0,0,3/DH,,,261,75,Both ,Right ,TX,14.81481481
CJ Abrams*,23,WSN,NL,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,0.246,0.314,0.433,0.747,110,0.324,108,234,4,16,1,4,3,*6/H,AS,,191,72,Left ,Right ,GA,13.12292359
Orlando Arcia,29,ATL,NL,0.5,157,602,551,50,120,24,0,17,46,2,0,41,128,0.218,0.271,0.354,0.625,72,0.278,70,195,16,2,1,7,1,*6,,,187,71,Right ,Right ,VENZ,8.305647841
Zach Neto,23,LAA,AL,5.1,155,602,542,70,135,34,1,23,77,30,10,39,140,0.249,0.318,0.443,0.761,112,0.334,112,240,14,16,4,1,1,*6/H,,,185,71,Right ,Right ,FL,11.62790698
Rafael Devers*,27,BOS,AL,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,140,0.368,134,271,13,3,0,6,14,*5/D,"AS,MVP-13",,235,72,Left ,Right ,DR ,14.47587354
Oneil Cruz*,25,PIT,NL,2.5,146,599,541,72,140,34,3,21,76,22,1,51,181,0.259,0.324,0.449,0.773,113,0.34,110,243,8,3,0,4,5,*68H/D,,,240,79,Left ,Right ,DR ,12.02003339
Alec Burleson*,25,STL,NL,1.2,152,595,547,71,147,20,0,21,78,9,4,35,76,0.269,0.314,0.42,0.735,105,0.325,105,230,8,4,1,6,0,D97H3,,,225,72,Left ,Left ,NC,11.93277311
Carlos Santana#,38,MIN,AL,2.5,150,594,521,63,124,26,0,23,71,4,0,65,99,0.238,0.328,0.42,0.749,108,0.329,108,219,11,6,0,2,3,*3/HD,GG,,210,70,Both ,Right ,DR ,10.60606061
Jackson Merrill*,21,SDP,NL,4.4,156,593,554,77,162,31,6,24,90,16,3,29,101,0.292,0.326,0.5,0.826,128,0.357,126,277,2,1,4,5,1,*8/H,"AS,MVP-9,ROY-2,SS",,195,75,Left ,Right ,MD,12.98482293
Dansby Swanson,30,CHC,NL,3.9,149,593,534,82,129,27,2,16,66,19,3,54,144,0.242,0.312,0.39,0.701,97,0.313,96,208,7,2,0,3,2,*6/H,,,190,72,Right ,Right ,GA,13.82799325
Josh Smith*,26,TEX,AL,3.2,149,592,523,67,135,30,1,13,62,11,2,46,121,0.258,0.337,0.394,0.731,111,0.329,112,206,6,18,2,3,1,56DH/749,SS,,172,69,Left ,Right ,LA,11.31756757
Seiya Suzuki,29,CHC,NL,3.5,132,585,512,74,145,27,6,21,73,16,6,63,160,0.283,0.366,0.482,0.848,137,0.364,136,247,6,6,0,4,3,9D/7H,,,182,72,Right ,Right ,JAPAN,12.64957265
Riley Greene*,23,DET,AL,5.4,137,584,512,82,134,27,6,24,74,4,2,64,156,0.262,0.348,0.479,0.827,133,0.358,133,245,2,5,0,2,3,7D8/9H,AS,,200,74,Left ,Left ,FL,14.04109589
Ketel Marte#,30,ARI,NL,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,0.292,0.372,0.56,0.932,155,0.396,155,282,9,5,0,9,7,*4D/H6,"AS,MVP-3,SS",,210,72,Both ,Right ,DR ,15.95197256
Jake Burger,28,MIA,NL,0.5,137,579,535,68,134,23,1,29,76,1,1,31,150,0.25,0.301,0.46,0.76,103,0.327,100,246,11,9,0,4,2,35D/H,,,230,72,Right ,Right ,MO,11.74438687
Jorge Soler,32,ATL,NL,0.1,49,182,152,27,37,11,0,9,24,0,0,24,44,0.243,0.356,0.493,0.849,133,0.364,133,75,0,3,0,1,0,9/7H,,,235,76,Right ,Right ,CUBA ,14.83516484
Jackson Chourio,20,MIL,NL,3.8,148,573,528,80,145,29,4,21,79,22,7,39,121,0.275,0.327,0.464,0.791,118,0.344,115,245,7,3,1,2,4,*79/HD,"MVP-22,ROY-3",,204,72,Right ,Right ,VENZ,13.96160558
Ceddanne Rafaela,23,BOS,AL,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,83,0.299,85,212,8,7,2,3,1,864/5H9,,,165,70,Right ,Right ,CURACAO,12.2591944
Bryson Stott*,26,PHI,NL,2.5,148,571,506,65,124,19,2,11,57,32,3,53,93,0.245,0.315,0.356,0.671,88,0.309,87,180,9,3,0,9,1,*46H/D,,,200,73,Left ,Right ,NV,11.38353765
Cody Bellinger*,28,CHC,NL,2.2,130,569,516,72,137,23,3,18,78,9,2,45,89,0.266,0.325,0.426,0.751,110,0.326,108,220,10,3,0,5,7,98D3/7,,,203,75,Left ,Left ,AZ,12.65377856
Michael Busch*,26,CHC,NL,2.8,152,567,496,73,123,28,2,21,65,2,1,63,162,0.248,0.335,0.44,0.775,117,0.338,118,218,9,4,0,4,1,*3H/4D5,,,210,72,Left ,Right ,MN ,12.87477954
Matt Vierling,27,DET,AL,3,144,567,518,80,133,28,5,16,57,6,1,41,121,0.257,0.312,0.423,0.735,107,0.323,106,219,9,3,0,5,1,859H7/D3,,,205,74,Right ,Right ,MO ,14.10934744
Nathaniel Lowe*,28,TEX,AL,2.7,140,565,486,62,129,16,1,16,69,2,0,71,125,0.265,0.361,0.401,0.762,121,0.342,122,195,9,4,0,4,1,*3/HD,,,220,76,Left ,Right ,VA ,10.97345133
Colton Cowser*,24,BAL,AL,3.1,153,561,499,77,121,24,3,24,69,9,4,52,172,0.242,0.321,0.447,0.768,122,0.329,119,223,9,7,0,3,2,*789H/D,ROY-2,,220,75,Left ,Right ,TX,13.7254902
Wyatt Langford,22,TEX,AL,3.9,134,557,499,74,126,25,4,16,74,19,3,51,115,0.253,0.325,0.415,0.74,112,0.329,110,207,6,4,0,3,3,*7D8,ROY-7,,225,72,Right ,Right ,FL,13.28545781
Colt Keith*,22,DET,AL,1.1,148,556,516,54,134,15,4,13,61,7,1,36,110,0.26,0.309,0.38,0.689,96,0.308,95,196,4,2,0,2,2,*4DH,,,211,74,Left ,Right ,OH,9.712230216
Vinnie Pasquantino*,26,KCR,AL,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,0.262,0.315,0.446,0.76,111,0.328,108,221,12,4,1,13,1,3D/H,,,245,75,Left ,Left ,VENZ,11.55234657
Lourdes Gurriel Jr.,30,ARI,NL,2,133,553,513,72,143,22,2,18,75,7,1,29,101,0.279,0.322,0.435,0.757,109,0.329,106,223,16,6,0,5,1,*7H/D3,,,215,75,Right ,Right ,CUBA ,13.0198915
Christian Walker,33,ARI,NL,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,0.251,0.335,0.468,0.803,121,0.34,116,224,12,10,0,8,4,*3/H,GG,,208,71,Right ,Right ,PA,13.04347826
Zack Gelof,24,OAK,AL,1.4,138,547,497,60,105,20,2,17,49,25,3,38,188,0.211,0.27,0.362,0.632,82,0.286,80,180,7,4,3,5,0,*4/H,,,205,74,Right ,Right ,DE,10.96892139
Will Smith,29,LAD,NL,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,0.248,0.327,0.433,0.76,116,0.327,112,206,8,9,0,8,6,*2/HD,AS,,195,70,Right ,Right ,KY,14.15441176
Steven Kwan*,26,CLE,AL,4,122,540,480,83,140,16,3,14,44,12,5,53,51,0.292,0.368,0.425,0.793,127,0.352,128,204,5,5,2,0,0,*7/DH,"AS,GG",,170,68,Left ,Left ,CA,15.37037037
Brendan Rodgers,27,COL,NL,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,0.267,0.314,0.407,0.721,93,0.317,92,204,12,4,1,2,1,*4/DH,,,204,72,Right ,Right ,FL,12.43042672
Trea Turner,31,PHI,NL,3,121,539,505,88,149,25,0,21,62,19,4,27,98,0.295,0.338,0.469,0.807,123,0.358,127,237,10,6,0,1,0,*6/D,AS,,185,73,Right ,Right ,FL,16.32653061
Justin Turner,39,2TM,AL,1.5,139,539,460,59,119,24,0,11,55,0,2,59,95,0.259,0.354,0.383,0.737,114,0.328,116,176,16,13,0,7,2,D3H/5,,,208,71,Right ,Right ,CA,10.94619666
